Racism and STEM  (All Fields) and 1997-2024 (Publication Years)
Timespan: 1997-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Exploring the Role of Race in Black Males' Sense of Belonging in Medical School: A Qualitative Pilot Study","Strayhorn, Terrell L.","","","","MEDICAL SCIENCE EDUCATOR","DEC 2020","2020","30","4","","","","1383","1387","","10.1007/s40670-020-01103-y","","","13","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","0"
"Claiming 'anti-white racism' in Australia: Victimhood, identity, and privilege","Sharples, Rachel; Blair, Kathleen","","","","JOURNAL OF SOCIOLOGY","SEP 2021","2021","57","3","","","","559","576","1440783320934184","10.1177/1440783320934184","","","13","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","3","2"
"The whole lupus: Articulating biosocial interplay in systemic lupus erythematosus epidemiology and population disparities","Kinsey, Dirk; Paul, Carolyn P.; Taylor, Denina; Caricchio, Rorto; Kulathinal, Rob J.; Hayes-Conroy, Allison","","","","HEALTH & PLACE","MAY 2018","2018","51","","","","","182","188","","10.1016/j.healthplace.2018.03.007","","","13","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","2","3","1","0"
"When Does Differential Treatment Become Perceived Discrimination? An Intersectional Analysis in a Southern Brazilian Population","Bastos, Joao L.; Harnois, Catherine E.; Bernardo, Carla O.; Peres, Marco A.; Paradies, Yin C.","","","","SOCIOLOGY OF RACE AND ETHNICITY","JUL 2017","2017","3","3","","","","301","318","","10.1177/2332649216681167","","","13","1.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","0","4","1","1","0"
"RACE RELATIONSHIPS: COLLEGIALITY AND DEMARCATION IN PHYSICAL ANTHROPOLOGY","Collopy, Peter Sachs","","","","JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES","SUM 2015","2015","51","3","","","","237","260","","10.1002/jhbs.21728","","","13","1.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","1","2","1","3","1"
"Juneteenth in STEMM and the barriers to equitable science","Mays, Alfred; Byars-Winston, Angela; Hinton Jr, Antentor; Marshall, Andrea G.; Kirabo, Annet; August, Avery; Marlin, Bianca J.; Riggs, Blake; Tolbert, Blanton; Wanjalla, Celestine; Womack, Chad; Evans, Chantell S.; Barnes, Christopher; Starbird, Chrystal; Williams, Clintoria; Reynolds, Corey; Taabazuing, Cornelius; Cameron, Craig E.; Murray, Debra D.; Applewhite, Derek; Morton, Derrick J.; Lee, Dexter; Williams, Dionna W.; Lynch, Donald; Brady, Donita; Lynch, Erin; Rutaganira, Florentine U. N.; Silva, Gustavo M.; Shuler, Haysetta; Saboor, Ishmail Abdus; Davis, Jamaine; Dzirasa, Kafui; Hammonds-Odie, Latanya; Reyes, Loretta; Sweetwyne, Mariya T.; McReynolds, Melanie R.; Johnson, Michael D. L.; Smith, Nathan A.; Pittman, Nikea; Ajijola, Olujimi A.; Smith, Quinton; Robinson, Rena A. S.; Lewis, Samantha C.; Murray, Sandra A.; Black, Sherilynn; Neal, Sonya E.; Andrisse, Stanley; Townsend, Steven; Damo, Steven M.; Griffith, Theanne N.; Lambert, W. Marcus; Clemons Jr, William M.","","","","CELL","JUN 8 2023","2023","186","12","","","","2510","2517","","10.1016/j.cell.2023.05.016","","","12","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6"
"Race, Ethnicity, and Health Disparities in US Children With COVID-19: A Review of the Evidence and Recommendations for the Future","Miguel, Claudia P. Vicetti; Dasgupta-Tsinikas, Shom; Lamb, Gabriella S.; Olarte, Liset; Santos, Roberto P.","","","","JOURNAL OF THE PEDIATRIC INFECTIOUS DISEASES SOCIETY","DEC 7 2022","2022","11","","","4","SI","S132","S140","","10.1093/jpids/piac099","","","12","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","3"
"Harnessing the power to bridge different worlds: An introduction to posthumanism as a philosophical perspective for the discipline","Adam, Simon; Juergensen, Linda; Mallette, Claire","","","","NURSING PHILOSOPHY","JUL 2021","2021","22","3","","","SI","","","e12362","10.1111/nup.12362","","","12","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","1"
"A Systematic Review of Neighborhood Ethnic-Racial Compositions on Cultural Developmental Processes and Experiences in Adolescence","Pasco, Michelle C.; White, Rebecca M. B.; Seaton, Eleanor K.","","","","ADOLESCENT RESEARCH REVIEW","JUN 2021","2021","6","2","","","","229","246","","10.1007/s40894-021-00152-7","","","12","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","2"
"Food for Thought: Opportunities to Improve Diversity, Inclusion, Representation, and Participation in Epidemiology","Jackson, Chandra L.","","","","AMERICAN JOURNAL OF EPIDEMIOLOGY","OCT 2020","2020","189","10","","","","1016","1022","","10.1093/aje/kwaa104","","","12","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","6","3","0"
"How is capitalism racial? Fanon, critical theory and the fetish of antiblackness","White, Hylton","","","","SOCIAL DYNAMICS-A JOURNAL OF AFRICAN STUDIES","JAN 2 2020","2020","46","1","","","SI","22","35","","10.1080/02533952.2020.1758871","","","12","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","7","1"
"Color-blind or racially conscious? How college science faculty make sense of racial/ethnic underrepresentation in STEM","Russo-Tait, Tatiane","","","","JOURNAL OF RESEARCH IN SCIENCE TEACHING","DEC 2022","2022","59","10","","","","1822","1852","","10.1002/tea.21775","","","11","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","3"
"Acknowledging and Supplanting White Supremacy Culture in Science Communication and STEM: The Role of Science Communication Trainers","Callwood, Karlisa A. A.; Weiss, Marissa; Hendricks, Rose; Taylor, Temis G. G.","","","","FRONTIERS IN COMMUNICATION","FEB 25 2022","2022","7","","","","","","","787750","10.3389/fcomm.2022.787750","","","11","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","1"
"Towards Equitable, Social Justice Criticality: Re-Constructing the"Black" Box and Making it Transparent for the Future of Science and Technology in Science Education","Waight, Noemi; Kayumova, Shakhnoza; Tripp, Jennifer; Achilova, Feyza","","","","SCIENCE & EDUCATION","DEC 2022","2022","31","6","","","","1493","1515","","10.1007/s11191-022-00328-0","","","11","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","1"
""Maybe this is just not the place for me:" Gender harassment and discrimination in the geosciences","Mattheis, Allison; Marin-Spiotta, Erika; Nandihalli, Sunita; Schneider, Blair; Barnes, Rebecca T.","","","","PLOS ONE","2022","2022","17","5","","","","","","e0268562","10.1371/journal.pone.0268562","","","11","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","0"
"Putting them on a strong spiritual path: Indigenous doulas responding to the needs of Indigenous mothers and communities","Cidro, Jaime; Doenmez, Caroline; Sinclair, Stephanie; Nychuk, Alexandra; Wodtke, Larissa; Hayward, Ashley","","","","INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH","AUG 26 2021","2021","20","1","","","","","","189","10.1186/s12939-021-01521-3","","","11","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3"
"Mental Health Implications of the COVID-19 Pandemic Among Children and Adolescents: What Do We Know so Far?","Listernick, Zoe, I; Badawy, Sherif M.","","","","PEDIATRIC HEALTH MEDICINE AND THERAPEUTICS","2021","2021","12","","","","","543","549","","10.2147/PHMT.S315887","","","11","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","1"
"Lay theory of generalized prejudice moderates cardiovascular stress responses to racism for White women","Chaney, Kimberly E.; Sanchez, Diana T.; Himmelstein, Mary S.; Manuel, Sara K.","","","","GROUP PROCESSES & INTERGROUP RELATIONS","SEP 2021","2021","24","6","","","","998","1015","1368430220929078","10.1177/1368430220929078","","","11","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","5","1"
"Cancer, chemotherapy, and HIV: Living with cancer amidst comorbidity in a South African township","Mendenhall, Emily; Bosire, Edna N.; Kim, Andrew Wooyoung; Norris, Shane A.","","","","SOCIAL SCIENCE & MEDICINE","SEP 2019","2019","237","","","","","","","112461","10.1016/j.socscimed.2019.112461","","","11","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","1","0","1"
"Toward a critical theory of science, technology, engineering, and mathematics doctoral persistence: Critical capital theory","Bancroft, Senetta F.","","","","SCIENCE EDUCATION","NOV 2018","2018","102","6","","","","1319","1335","","10.1002/sce.21474","","","11","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","4","2","0"
""Just a Joke": Young Australian understandings of racism","Grigg, Kaine; Manderson, Lenore","","","","INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS","JUL 2015","2015","47","","","","","195","208","","10.1016/j.ijintrel.2015.06.006","","","11","1.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","3","0","0","1","0","1"
"Hip-hop Urbanism Old and New","Jeffries, Michael P.","","","","INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH","MAR 2014","2014","38","2","","","","706","715","","10.1111/1468-2427.12106","","","11","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","0","0","1","1","1"
"Between Flood and Drought: Environmental Racism, Settler Waterscapes, and Indigenous Water Justice in South America's Chaco","Correia, Joel E.","","","","ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS","OCT 3 2022","2022","112","7","","","","1890","1910","","10.1080/24694452.2022.2040351","","","10","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","1"
"The Racialized Pandemic: Wave One of COVID-19 and the Reproduction of Global North Inequalities","Hooijer, Gerda; King, Desmond","","","","PERSPECTIVES ON POLITICS","JUN 2022","2022","20","2","","","SI","507","527","PII S153759272100195X","10.1017/S153759272100195X","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","0"
"The Significance of Race in Cross-Racial Mentoring of Faculty of Color","Thorne, Kelsie M.; Jones, Martinque K.; Davis, Tangier M.; Settles, Isis H.","","","","TRANSLATIONAL ISSUES IN PSYCHOLOGICAL SCIENCE","DEC 2021","2021","7","4","","","SI","462","472","","10.1037/tps0000286","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","0"
"The Important Role of Chemistry Department Chairs and Recommendations for Actions They Can Enact to Advance Black Student Success","Collins, Jennifer Shalini; Olesik, Susan, V","","","","JOURNAL OF CHEMICAL EDUCATION","JUL 13 2021","2021","98","7","","","","2209","2220","","10.1021/acs.jchemed.0c01329","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","0"
"Review of Racially Equitable Admissions Practices in STEM Doctoral Programs","Roberts, Sonia F.; Pyfrom, Elana; Hoffman, Jacob A.; Pai, Christopher; Reagan, Erin K.; Light, Alysson E.","","","","EDUCATION SCIENCES","JUN 2021","2021","11","6","","","","","","270","10.3390/educsci11060270","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","1"
"Black Lives Matter in ecology and evolution","[Anonymous]","","","","NATURE ECOLOGY & EVOLUTION","JUL 2020","2020","4","7","","","","893","894","","10.1038/s41559-020-1250-2","","","10","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","3","0","0"
""Rumor, Vicious Innuendo, and False Reports": Policing Black Soldiers in Wartime Staten Island","Brooks, Emily","","","","JOURNAL OF URBAN HISTORY","SEP 2021","2021","47","5","","","SI","1032","1049","0096144219900134","10.1177/0096144219900134","","","10","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","3","1"
"The denial of slavery in contemporary American sociology","Patterson, Orlando","","","","THEORY AND SOCIETY","DEC 2019","2019","48","6","","","SI","903","914","","10.1007/s11186-019-09369-x","","","10","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","2"
"Is Speciesism Wrong by Definition?","Jaquet, Francois","","","","JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS","JUN 2019","2019","32","3","","","","447","458","","10.1007/s10806-019-09784-1","","","10","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","4","1"
"Breaking Down Barriers: Making it Easier for Academic Librarians of Color to Stay","Riley-Reid, Trevar","","","","JOURNAL OF ACADEMIC LIBRARIANSHIP","SEP 2017","2017","43","5","","","","392","396","","10.1016/j.acalib.2017.06.017","","","10","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","0"
"Mapping cultural diversity through children's voices: From confusion to clear understandings","Hajisoteriou, Christina; Karousiou, Christiana; Angelides, Panayiotis","","","","BRITISH EDUCATIONAL RESEARCH JOURNAL","APR 2017","2017","43","2","","","","330","349","","10.1002/berj.3266","","","10","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","1","2","0"
"Ethnic purity, otherness and anxiety: The model of internal racism","Davids, M. Fakhry","","","","PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN","SEP-OCT 2016","2016","70","9-10","","","","779","804","","","","","10","1.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","0","1","2","1","0"
"<i>Kiskenimisowin</i> (self-knowledge): Co-researching Wellbeing With Canadian First Nations Youth Through Participatory Visual Methods","Victor, Janice; Linds, Warren; Episkenew, Jo-Ann; Goulet, Linda; Benjoe, David; Brass, Dustin; Pandey, Mamata; Schmidt, Karen","","","","INTERNATIONAL JOURNAL OF INDIGENOUS HEALTH","2016","2016","11","1","","","","262","278","","10.18357/ijih111201616020","","","10","1.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","3","2","0"
"Fiscal Fragility in Black Middle-Class Suburbia and Consequences for K-12 Schools and Other Public Services","Simms, Angela","","","","RSF-THE RUSSELL SAGE JOURNAL OF THE SOCIAL SCIENCES","FEB 2023","2023","9","2","","","","204","225","","10.7758/RSF.2023.9.2.09","","","9","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0"
"Racism, sexism and disconnection: contrasting experiences of Black women in STEM before and after transfer from community college","Allen, DeeDee; Dancy, Melissa; Stearns, Elizabeth; Mickelson, Roslyn; Bottia, Martha","","","","INTERNATIONAL JOURNAL OF STEM EDUCATION","FEB 19 2022","2022","9","1","","","","","","20","10.1186/s40594-022-00334-2","","","9","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2"
"Emancipating STEM Education through Abolitionist Teaching: A Research-practice Partnership to Support Virtual Microteaching Experiences","Louis, Vanessa N.; King, Natalie S.","","","","JOURNAL OF SCIENCE TEACHER EDUCATION","FEB 17 2022","2022","33","2","","","SI","206","226","","10.1080/1046560X.2021.2012957","","","9","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1"
""La Creme de la Creme": How Racial, Gendered, and Intersectional Social Comparisons Reveal Inequities That Affect Sense of Belonging in STEM","Brockman, Amanda J.","","","","SOCIOLOGICAL INQUIRY","NOV 2021","2021","91","4","","","","751","777","","10.1111/soin.12401","","","9","2.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","1"
"Blackface, Implicit Bias, and the Informal Curriculum: Shaping the Healthcare Workforce, and Improving Health","Thomas, Billy; Booth-McCoy, Amber N.","","","","JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION","OCT 2020","2020","112","5","","","","533","540","","10.1016/j.jnma.2020.05.012","","","9","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1"
"Ethnic discordance: Why do some patients prefer to be treated by physicians from other ethnic groups?","Keshet, Yael","","","","SOCIAL SCIENCE & MEDICINE","AUG 2019","2019","235","","","","","","","112358","10.1016/j.socscimed.2019.112358","","","9","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","2","0"
"Racism in Remediation: How Black Students Navigate Stereotypes to Achieve Success in Developmental Mathematics","Roberts, Maxine T.","","","","COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE","DEC 1 2020","2020","44","10-12","","","","701","721","","10.1080/10668926.2019.1640143","","","9","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","0"
"Colonial Legacies and Collaborative Action: Improving Indigenous Peoples' Health Care in Canada","Wylie, Lloy; McConkey, Stephanie; Corrado, Ann Marie","","","","INTERNATIONAL INDIGENOUS POLICY JOURNAL","2019","2019","10","5","","","SI","","","","10.18584/iipj.2019.10.5.9340","","","9","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","1"
"General experiences","Parsons, Eileen R. C.; Bulls, Domonique L.; Freeman, Tonjua B.; Butler, Malcolm B.; Atwater, Mary M.","","","","CULTURAL STUDIES OF SCIENCE EDUCATION","JUN 2018","2018","13","2","","","","371","394","","10.1007/s11422-016-9774-0","","","9","1.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","1","0"
"Dissonance persists - Reproduction of racial attitudes among post-civil rights cohorts of White Americans","Blinder, Scott B.","","","","AMERICAN POLITICS RESEARCH","MAY 2007","2007","35","3","","","","299","335","","10.1177/1532673X07300234","","","9","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1","1","0","0","0","0","3","0","0","0","0"
"Do we change gifted children to fit gifted programs, or do we change gifted programs to fit gifted children?","Olszewski-Kubilius, P","","","","JOURNAL FOR THE EDUCATION OF THE GIFTED","SUM 2003","2003","26","4","","","","304","313","","10.4219/jeg-2003-308","","","9","0.41","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","1","0","0","1","0","0","0","1","1","0","1","0"
"Color-Evasive Cognition: The Unavoidable Impact of Scientific Racism in the Founding of a Field","Thomas, Ayanna K.; de Royston, Maxine McKinney; Powell, Shameka","","","","CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","APR 2023","2023","32","2","","","","137","144","","10.1177/09637214221141713","","","8","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3"
"Racial and Ethnic Differences in Inpatient Palliative Care for Pediatric Stem Cell Transplant Patients*","McKee, Maya N.; Palama, Brett K.; Hall, Matt; LaBelle, James L.; Bohr, Nicole L.; Hoehn, K. Sarah","","","","PEDIATRIC CRITICAL CARE MEDICINE","JUN 2022","2022","23","6","","","","417","424","","10.1097/PCC.0000000000002916","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1"
"Diversity initiatives in the US workplace: A brief history, their intended and unintended consequences","Portocarrero, Sandra; Carter, James T.","","","","SOCIOLOGY COMPASS","JUL 2022","2022","16","7","","","","","","e13001","10.1111/soc4.13001","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","2"
"Anti-racism is not an initiative: How professional learning communities may advance equity and social-emotional learning in schools","Leonard, Ann M.; Woodland, Rebecca H.","","","","THEORY INTO PRACTICE","APR 3 2022","2022","61","2","","","SI","212","223","","10.1080/00405841.2022.2036058","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0"
"#Papuanlivesmatter: black consciousness and political movements in West Papua","Kusumaryati, Veronika","","","","CRITICAL ASIAN STUDIES","OCT 2 2021","2021","53","4","","","","453","475","","10.1080/14672715.2021.1963794","","","8","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","2"
"Race and racism in soil science","Berhe, Asmeret Asefaw; Ghezzehei, Teamrat A.","","","","EUROPEAN JOURNAL OF SOIL SCIENCE","MAY 2021","2021","72","3","","","","1292","1297","","10.1111/ejss.13078","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2"
"Spaces of Islamophobia and spaces of inequality in Greater Paris","Najib, Kawtar","","","","ENVIRONMENT AND PLANNING C-POLITICS AND SPACE","MAY 2021","2021","39","3","","","SI","606","625","2399654420941520","10.1177/2399654420941520","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","2","0"
"A discussion on the notion of race in cognitive neuroscience research","Trujillo, Anelis Kaiser; Kesse, E. Ngubia; Rollins, Oliver; Della Sala, Sergio; Cubelli, Roberto","","","","CORTEX","MAY 2020","2020","150","","","","","153","164","","10.1016/j.cortex.2021.11.007","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0"
"Reflective Capacity: An Antidote to Structural Racism Cultivated Through Mental Health Consultation","Silverman, Miriam E.; Hutchison, Margaret S.","","","","INFANT MENTAL HEALTH JOURNAL","SEP-OCT 2019","2019","40","5","","","SI","742","756","","10.1002/imhj.21807","","","8","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","4","1"
"EmotoTent: Reducing School Violence through Embodied Empathy Games","Antle, Alissa N.; Sadka, Ofir; Radu, Iulian; Gong, Boxiao; Cheung, Victor; Baishya, Uddipana","","","","PROCEEDINGS OF ACM INTERACTION DESIGN AND CHILDREN (IDC 2019)","2019","2019","","","","","","755","760","","10.1145/3311927.3326596","18th Annual ACM Interaction Design and Children (IDC)","JUN 12-15, 2019","8","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","1","0"
"The Relationship of Colonial Mentality With Filipina American Experiences With Racism and Sexism","Felipe, Lou Collette S.","","","","ASIAN AMERICAN JOURNAL OF PSYCHOLOGY","MAR 2016","2016","7","1","","","","25","30","","10.1037/aap0000033","","","8","0.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","2","1","0"
"GOBINEAU, RACISM, AND LEGITIMISM: A ROYALIST HERETIC IN NINETEENTH-CENTURY FRANCE","Kale, Steven","","","","MODERN INTELLECTUAL HISTORY","APR 2010","2010","7","1","","","","33","61","","10.1017/S1479244309990266","","","8","0.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","2","1","0","0","0","1"
"Border matters: Redefining the national interest in US-Mexico immigration and trade policy","Gallegos, GA","","","","CALIFORNIA LAW REVIEW","DEC 2004","2004","92","6","","","","1729","1778","","10.2307/3481354","","","8","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","1","1","2","0","0","0","0"
"Experiences of COVID-19-Related Racism and Impact on Depression Trajectories Among Racially/Ethnically Minoritized Adolescents","Liu, Sabrina R.; Davis, Elysia Poggi; Palma, Anton M.; Stern, Hal S.; Sandman, Curt A.; Glynn, Laura M.","","","","JOURNAL OF ADOLESCENT HEALTH","JUN 2023","2023","72","6","","","","885","891","","10.1016/j.jadohealth.2022.12.020","","","7","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3"
"Evading Race: STEM Faculty Struggle to Acknowledge Racialized Classroom Events","King, Gretchen P.; Russo-Tait, Tatiane; Andrews, Tessa C.","","","","CBE-LIFE SCIENCES EDUCATION","MAR 1 2023","2023","22","1","","","","","","ar14","10.1187/cbe.22-06-0104","","","7","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2"
"Anticipation of racially motivated police brutality and youth mental health","Webb, Lindsey; Jackson, Dylan B.; Jindal, Monique; Alang, Sirry; Mendelson, Tamar; Clary, Laura K.","","","","JOURNAL OF CRIMINAL JUSTICE","NOV-DEC 2022","2022","83","","","","","","","101967","10.1016/j.jcrimjus.2022.101967","","","7","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3"
